iter,train_loss,val_loss,lr,mfu
0,10.848329734802245,10.848371696472167,8.379888268156424e-07,-100.0
0,10.846318626403809,10.848190402984619,8.379888268156424e-07,-100.0
0,10.828650665283202,10.826400184631348,8.379888268156424e-07,-100.0
0,10.831315040588379,10.83333797454834,8.379888268156424e-07,-100.0
0,10.838539218902588,10.839883041381835,8.379888268156424e-07,-100.0
0,10.835970497131347,10.835923004150391,8.379888268156424e-07,-100.0
0,10.868812370300294,10.87048625946045,8.379888268156424e-07,-100.0,0.2523401712806214
0,10.847545528411866,10.846447658538818,8.379888268156424e-07,-100.0,
0,10.84614160656929,,8.379888268156424e-07,-100.0,
1,10.842685118317604,,1.6759776536312848e-06,-100.0,
2,10.834826022386551,,2.513966480446927e-06,-100.0,
3,10.823455810546875,,3.3519553072625697e-06,-100.0,
4,10.807682305574417,,4.189944134078212e-06,-100.0,
5,10.78741367161274,,5.027932960893854e-06,-100.0,
6,10.766318276524544,,5.865921787709497e-06,-100.0,
7,10.743220627307892,,6.703910614525139e-06,-100.0,
8,10.717034056782722,,7.541899441340781e-06,-100.0,
9,10.691621467471123,,8.379888268156424e-06,-100.0,
10,10.664520129561424,,9.217877094972066e-06,-100.0,
11,10.640615597367287,,1.0055865921787709e-05,-100.0,
12,10.614306971430779,,1.0893854748603351e-05,-100.0,
13,10.593364387750626,,1.1731843575418994e-05,-100.0,
14,10.564033880829811,,1.2569832402234636e-05,-100.0,
15,10.543255299329758,,1.3407821229050279e-05,-100.0,
16,10.520641073584557,,1.424581005586592e-05,-100.0,
17,10.495999202132225,,1.5083798882681563e-05,-100.0,
18,10.487163230776787,,1.5921787709497204e-05,-100.0,
19,10.473744794726372,,1.675977653631285e-05,-100.0,
20,10.429211303591728,,1.759776536312849e-05,-100.0,
21,10.40296046435833,,1.843575418994413e-05,-100.0,
22,10.384719714522362,,1.9273743016759772e-05,-100.0,
23,10.367842003703117,,2.0111731843575417e-05,-100.0,
24,10.332964688539505,,2.0949720670391062e-05,-100.0,
25,10.320371091365814,,2.1787709497206703e-05,-100.0,
26,10.295062988996506,,2.2625698324022344e-05,-100.0,
27,10.265699833631516,,2.346368715083799e-05,-100.0,
28,10.2483891248703,,2.430167597765363e-05,-100.0,
29,10.220579743385315,,2.513966480446927e-05,-100.0,
30,10.21094499528408,,2.5977653631284913e-05,-100.0,
31,10.174185544252396,,2.6815642458100557e-05,-100.0,
32,10.154465034604073,,2.76536312849162e-05,-100.0,
33,10.125201895833015,,2.849162011173184e-05,-100.0,
34,10.082557618618011,,2.9329608938547484e-05,-100.0,
35,10.072159722447395,,3.0167597765363126e-05,-100.0,
36,10.050474792718887,,3.100558659217877e-05,-100.0,
37,10.008387461304665,,3.184357541899441e-05,-100.0,
38,9.982540681958199,,3.268156424581005e-05,-100.0,
39,9.971311822533607,,3.35195530726257e-05,-100.0,
